"sampleID" "broad.cluster" "cluster" "diagnosis"
"mc_L_1" 1 "L" "L2/3" "Control"
"mc_L_2" 1 "L" "L2/3" "Control"
"mc_L_3" 1 "L" "L2/3" "Control"
"mc_L_4" 1 "L" "L4" "Control"
"mc_L_5" 1 "L" "L5/6-CC" "Control"
"mc_L_6" 1 "L" "L2/3" "Control"
"mc_L_7" 1 "L" "L4" "Control"
"mc_L_8" 1 "L" "L5/6" "Control"
"mc_L_9" 1 "L" "L5/6-CC" "Control"
"mc_L_10" 2 "L" "L4" "Control"
"mc_L_11" 2 "L" "L5/6" "Control"
"mc_L_12" 2 "L" "L5/6" "Control"
"mc_L_13" 2 "L" "L5/6-CC" "Control"
"mc_L_14" 2 "L" "L5/6" "Control"
"mc_L_15" 2 "L" "L5/6" "Control"
"mc_L_16" 2 "L" "L5/6" "Control"
"mc_L_17" 2 "L" "L5/6" "Control"
"mc_L_18" 2 "L" "L5/6" "Control"
"mc_L_19" 2 "L" "L5/6-CC" "Control"
"mc_L_20" 2 "L" "L5/6" "Control"
"mc_L_21" 2 "L" "L5/6" "Control"
"mc_L_22" 2 "L" "L5/6" "Control"
"mc_L_23" 2 "L" "L5/6-CC" "Control"
"mc_L_24" 2 "L" "L2/3" "Control"
"mc_L_25" 2 "L" "L4" "Control"
"mc_L_26" 2 "L" "L5/6-CC" "Control"
"mc_L_27" 2 "L" "L2/3" "Control"
"mc_L_28" 2 "L" "L4" "Control"
"mc_L_29" 2 "L" "L4" "Control"
"mc_L_30" 2 "L" "L5/6-CC" "Control"
"mc_L_31" 2 "L" "L5/6-CC" "Control"
"mc_L_32" 2 "L" "L5/6-CC" "Control"
"mc_L_33" 2 "L" "L2/3" "Control"
"mc_L_34" 2 "L" "L4" "Control"
"mc_L_35" 2 "L" "L5/6" "Control"
"mc_L_36" 2 "L" "L5/6-CC" "Control"
"mc_L_37" 2 "L" "L5/6-CC" "Control"
"mc_L_38" 2 "L" "L5/6-CC" "Control"
"mc_L_39" 2 "L" "L5/6-CC" "Control"
