"sampleID" "broad.cluster" "cluster" "diagnosis"
"50" 1 "L" "L2/3" "Control"
"51" 1 "L" "L2/3" "Control"
"52" 1 "L" "L2/3" "Control"
"53" 1 "L" "L4" "Control"
"54" 1 "L" "L5/6-CC" "Control"
"56" 1 "L" "L2/3" "Control"
"57" 1 "L" "L4" "Control"
"58" 1 "L" "L5/6" "Control"
"59" 1 "L" "L5/6-CC" "Control"
"61" 2 "L" "L4" "Control"
"62" 2 "L" "L5/6" "Control"
"63" 2 "L" "L5/6" "Control"
"64" 2 "L" "L5/6-CC" "Control"
"66" 2 "L" "L5/6" "Control"
"67" 2 "L" "L5/6" "Control"
"68" 2 "L" "L5/6" "Control"
"69" 2 "L" "L5/6" "Control"
"70" 2 "L" "L5/6" "Control"
"71" 2 "L" "L5/6-CC" "Control"
"73" 2 "L" "L5/6" "Control"
"74" 2 "L" "L5/6" "Control"
"75" 2 "L" "L5/6" "Control"
"76" 2 "L" "L5/6-CC" "Control"
"77" 2 "L" "L2/3" "Control"
"78" 2 "L" "L4" "Control"
"79" 2 "L" "L5/6-CC" "Control"
"85" 2 "L" "L2/3" "Control"
"86" 2 "L" "L4" "Control"
"87" 2 "L" "L4" "Control"
"88" 2 "L" "L5/6-CC" "Control"
"89" 2 "L" "L5/6-CC" "Control"
"90" 2 "L" "L5/6-CC" "Control"
"92" 2 "L" "L2/3" "Control"
"93" 2 "L" "L4" "Control"
"94" 2 "L" "L5/6" "Control"
"95" 2 "L" "L5/6-CC" "Control"
"96" 2 "L" "L5/6-CC" "Control"
"97" 2 "L" "L5/6-CC" "Control"
"98" 2 "L" "L5/6-CC" "Control"
"99" 2 "L" "L5/6-CC" "Control"
"101" 2 "L" "L2/3" "Control"
"102" 2 "L" "L4" "Control"
"103" 2 "L" "L5/6" "Control"
"104" 2 "L" "L5/6-CC" "Control"
"105" 2 "L" "L5/6-CC" "Control"
"106" 2 "L" "L5/6-CC" "Control"
"108" 2 "L" "L2/3" "Control"
"109" 2 "L" "L2/3" "Control"
"110" 2 "L" "L2/3" "Control"
"111" 2 "L" "L2/3" "Control"
"112" 2 "L" "L5/6-CC" "Control"
"114" 2 "L" "L2/3" "Control"
"115" 2 "L" "L2/3" "Control"
"116" 2 "L" "L2/3" "Control"
"117" 2 "L" "L2/3" "Control"
"118" 2 "L" "L4" "Control"
"119" 2 "L" "L5/6-CC" "Control"
"121" 2 "L" "L2/3" "Control"
"122" 2 "L" "L2/3" "Control"
"123" 2 "L" "L2/3" "Control"
"124" 2 "L" "L2/3" "Control"
"125" 2 "L" "L2/3" "Control"
"126" 2 "L" "L2/3" "Control"
"131" 2 "L" "L2/3" "Control"
"132" 2 "L" "L2/3" "Control"
"192" 2 "L" "L2/3" "Control"
"194" 2 "L" "L5/6-CC" "Control"
"274" 3 "L" "L2/3" "Control"
"275" 3 "L" "L4" "Control"
"276" 3 "L" "L5/6-CC" "Control"
"277" 3 "L" "L5/6-CC" "Control"
"279" 3 "L" "L5/6" "Control"
"280" 3 "L" "L5/6" "Control"
"281" 3 "L" "L5/6" "Control"
"282" 3 "L" "L5/6" "Control"
"283" 3 "L" "L5/6" "Control"
"285" 3 "L" "L5/6" "Control"
"286" 3 "L" "L5/6" "Control"
"287" 3 "L" "L5/6" "Control"
"289" 3 "L" "L2/3" "Control"
"290" 3 "L" "L2/3" "Control"
"291" 3 "L" "L2/3" "Control"
"292" 3 "L" "L2/3" "Control"
"293" 3 "L" "L2/3" "Control"
"295" 3 "L" "L2/3" "Control"
"296" 3 "L" "L2/3" "Control"
"297" 3 "L" "L2/3" "Control"
"298" 3 "L" "L2/3" "Control"
"299" 3 "L" "L2/3" "Control"
"300" 3 "L" "L5/6-CC" "Control"
"302" 3 "L" "L2/3" "Control"
"303" 3 "L" "L2/3" "Control"
"304" 3 "L" "L2/3" "Control"
"305" 3 "L" "L5/6-CC" "Control"
"307" 3 "L" "L2/3" "Control"
"308" 3 "L" "L2/3" "Control"
"309" 3 "L" "L2/3" "Control"
"312" 3 "L" "L2/3" "Control"
"313" 3 "L" "L2/3" "Control"
"314" 3 "L" "L4" "Control"
"315" 3 "L" "L5/6-CC" "Control"
"318" 3 "L" "L2/3" "Control"
"319" 3 "L" "L4" "Control"
"320" 3 "L" "L5/6-CC" "Control"
"321" 3 "L" "L5/6-CC" "Control"
"322" 3 "L" "L5/6-CC" "Control"
"323" 3 "L" "L5/6-CC" "Control"
"324" 3 "L" "L5/6-CC" "Control"
"325" 3 "L" "L5/6-CC" "Control"
"326" 3 "L" "L5/6-CC" "Control"
"328" 3 "L" "L2/3" "Control"
"329" 3 "L" "L4" "Control"
"330" 3 "L" "L5/6-CC" "Control"
"332" 3 "L" "L4" "Control"
"333" 3 "L" "L4" "Control"
"334" 3 "L" "L4" "Control"
"335" 3 "L" "L4" "Control"
"336" 3 "L" "L4" "Control"
"337" 3 "L" "L4" "Control"
"338" 3 "L" "L5/6-CC" "Control"
"340" 3 "L" "L2/3" "Control"
"341" 3 "L" "L4" "Control"
"342" 3 "L" "L4" "Control"
"343" 3 "L" "L4" "Control"
"344" 3 "L" "L4" "Control"
"345" 3 "L" "L4" "Control"
"346" 3 "L" "L4" "Control"
"348" 3 "L" "L2/3" "Control"
"349" 3 "L" "L4" "Control"
"350" 3 "L" "L4" "Control"
"410" 3 "L" "L4" "Control"
"482" 3 "L" "L2/3" "Control"
"487" 3 "L" "L5/6" "Control"
"501" 3 "L" "L5/6-CC" "Control"
"507" 3 "L" "L2/3" "Control"
"508" 3 "L" "L4" "Control"
"510" 4 "L" "L5/6" "ASD"
"511" 4 "L" "L5/6" "ASD"
"512" 4 "L" "L5/6" "ASD"
"513" 4 "L" "L5/6" "ASD"
"514" 4 "L" "L5/6" "ASD"
"517" 4 "L" "L5/6" "ASD"
"518" 4 "L" "L5/6" "ASD"
"519" 4 "L" "L2/3" "ASD"
"520" 4 "L" "L4" "ASD"
"521" 4 "L" "L5/6-CC" "ASD"
"524" 4 "L" "L2/3" "ASD"
"525" 4 "L" "L2/3" "ASD"
"526" 4 "L" "L2/3" "ASD"
"527" 4 "L" "L2/3" "ASD"
"528" 4 "L" "L2/3" "ASD"
"529" 4 "L" "L2/3" "ASD"
"532" 4 "L" "L2/3" "ASD"
"533" 4 "L" "L2/3" "ASD"
"534" 4 "L" "L2/3" "ASD"
"535" 4 "L" "L2/3" "ASD"
"537" 4 "L" "L2/3" "ASD"
"538" 4 "L" "L2/3" "ASD"
"539" 4 "L" "L2/3" "ASD"
"540" 4 "L" "L2/3" "ASD"
"542" 4 "L" "L2/3" "ASD"
"543" 4 "L" "L2/3" "ASD"
"544" 4 "L" "L2/3" "ASD"
"545" 4 "L" "L2/3" "ASD"
"546" 4 "L" "L2/3" "ASD"
"547" 4 "L" "L5/6-CC" "ASD"
"549" 4 "L" "L2/3" "ASD"
"550" 4 "L" "L4" "ASD"
"551" 4 "L" "L4" "ASD"
"552" 4 "L" "L5/6-CC" "ASD"
"553" 4 "L" "L5/6-CC" "ASD"
"554" 4 "L" "L5/6-CC" "ASD"
"557" 4 "L" "L2/3" "ASD"
"558" 4 "L" "L4" "ASD"
"559" 4 "L" "L5/6-CC" "ASD"
"560" 4 "L" "L5/6-CC" "ASD"
"561" 4 "L" "L5/6-CC" "ASD"
"562" 4 "L" "L5/6-CC" "ASD"
"564" 4 "L" "L2/3" "ASD"
"565" 4 "L" "L2/3" "ASD"
"566" 4 "L" "L4" "ASD"
"567" 4 "L" "L4" "ASD"
"568" 4 "L" "L5/6-CC" "ASD"
"595" 4 "L" "L2/3" "ASD"
"596" 4 "L" "L5/6-CC" "ASD"
"737" 5 "L" "L5/6-CC" "ASD"
"779" 5 "L" "L5/6" "ASD"
"780" 5 "L" "L5/6" "ASD"
"781" 5 "L" "L5/6" "ASD"
"782" 5 "L" "L5/6" "ASD"
"783" 5 "L" "L5/6" "ASD"
"786" 5 "L" "L4" "ASD"
"787" 5 "L" "L5/6" "ASD"
"788" 5 "L" "L5/6" "ASD"
"790" 5 "L" "L2/3" "ASD"
"791" 5 "L" "L4" "ASD"
"792" 5 "L" "L4" "ASD"
"793" 5 "L" "L5/6-CC" "ASD"
"794" 5 "L" "L5/6-CC" "ASD"
"795" 5 "L" "L5/6-CC" "ASD"
"796" 5 "L" "L5/6-CC" "ASD"
"798" 5 "L" "L2/3" "ASD"
"799" 5 "L" "L4" "ASD"
"800" 5 "L" "L5/6-CC" "ASD"
"801" 5 "L" "L5/6-CC" "ASD"
"802" 5 "L" "L5/6-CC" "ASD"
"806" 5 "L" "L5/6-CC" "ASD"
"807" 5 "L" "L5/6-CC" "ASD"
"808" 5 "L" "L5/6-CC" "ASD"
"811" 5 "L" "L2/3" "ASD"
"812" 5 "L" "L5/6" "ASD"
"813" 5 "L" "L5/6-CC" "ASD"
"814" 5 "L" "L5/6-CC" "ASD"
"815" 5 "L" "L5/6-CC" "ASD"
"817" 5 "L" "L2/3" "ASD"
"818" 5 "L" "L2/3" "ASD"
"819" 5 "L" "L2/3" "ASD"
"820" 5 "L" "L2/3" "ASD"
"821" 5 "L" "L2/3" "ASD"
"822" 5 "L" "L2/3" "ASD"
"823" 5 "L" "L2/3" "ASD"
"825" 5 "L" "L2/3" "ASD"
"826" 5 "L" "L2/3" "ASD"
"827" 5 "L" "L2/3" "ASD"
"828" 5 "L" "L2/3" "ASD"
"829" 5 "L" "L2/3" "ASD"
"830" 5 "L" "L2/3" "ASD"
"831" 5 "L" "L2/3" "ASD"
"832" 5 "L" "L5/6-CC" "ASD"
"835" 5 "L" "L2/3" "ASD"
"836" 5 "L" "L2/3" "ASD"
"837" 5 "L" "L2/3" "ASD"
"838" 5 "L" "L4" "ASD"
"839" 5 "L" "L5/6" "ASD"
"840" 5 "L" "L5/6-CC" "ASD"
"926" 6 "L" "L2/3" "ASD"
"927" 6 "L" "L2/3" "ASD"
"928" 6 "L" "L2/3" "ASD"
"929" 6 "L" "L2/3" "ASD"
"930" 6 "L" "L2/3" "ASD"
"932" 6 "L" "L2/3" "ASD"
"933" 6 "L" "L2/3" "ASD"
"934" 6 "L" "L2/3" "ASD"
"935" 6 "L" "L2/3" "ASD"
"936" 6 "L" "L2/3" "ASD"
"938" 6 "L" "L2/3" "ASD"
"939" 6 "L" "L4" "ASD"
"940" 6 "L" "L4" "ASD"
"941" 6 "L" "L4" "ASD"
"942" 6 "L" "L4" "ASD"
"943" 6 "L" "L5/6-CC" "ASD"
"948" 6 "L" "L2/3" "ASD"
